i,theta,phi
0,0.0,58.0
1,0.0,58.0
2,0.0,58.0
3,0.0,58.0
4,0.0,58.0
5,0.0,58.0
6,0.0,58.0
7,0.0,61.0
8,0.0,64.0
9,0.0,76.0
10,0.0,95.0
11,0.0,120.0
12,0.0,156.0
13,0.0,187.0
14,0.0,211.0
15,0.0,235.0
16,0.0,245.0
17,0.0,257.0
18,0.0,267.0
19,0.0,278.0
20,0.0,285.0
21,0.0,280.0
22,0.0,274.0
23,0.0,271.0
24,0.0,274.0
25,0.0,274.0
26,0.0,274.0
27,0.0,277.0
28,0.0,283.0
29,0.0,287.0
30,0.0,290.0
31,0.0,292.0
32,0.0,294.0
33,0.0,295.0
34,0.0,295.0
35,0.0,295.0
36,0.0,294.0
37,0.0,294.0
38,0.0,294.0
39,0.0,292.0
40,0.0,287.0
41,0.0,267.0
42,0.0,229.0
43,0.0,176.0
44,0.0,136.0
45,0.0,127.0
46,0.0,117.0
47,0.0,115.0
48,0.0,113.0
49,0.0,112.0
50,0.0,112.0
51,0.0,112.0
52,0.0,111.0
53,0.0,111.0
54,0.0,111.0
55,0.0,111.0
56,0.0,111.0
57,0.0,111.0
58,0.0,111.0
59,0.0,111.0
60,0.0,111.0
61,0.0,111.0
62,0.0,111.0
63,0.0,111.0
64,0.0,111.0
65,0.0,111.0
66,0.0,111.0
67,0.0,117.0
68,0.0,115.0
69,0.0,113.0
70,0.0,112.0
71,0.0,111.0
72,0.0,111.0
73,0.0,111.0
74,0.0,111.0
75,0.0,111.0
76,0.0,111.0
77,0.0,111.0
78,0.0,111.0
79,0.0,111.0
80,0.0,111.0
81,0.0,111.0
82,0.0,111.0
83,0.0,111.0
84,0.0,111.0
85,0.0,111.0
86,0.0,111.0
87,0.0,111.0
88,0.0,111.0
89,0.0,111.0
90,0.0,111.0
91,0.0,111.0
92,0.0,111.0
93,0.0,111.0
94,0.0,111.0
95,0.0,111.0
96,0.0,111.0
97,0.0,111.0
98,0.0,111.0
99,0.0,111.0
100,0.0,111.0
101,0.0,111.0
102,0.0,111.0
103,0.0,111.0
104,0.0,111.0
105,0.0,111.0
106,0.0,111.0
107,0.0,111.0
108,0.0,111.0
109,0.0,111.0
110,0.0,111.0
111,0.0,111.0
112,0.0,111.0
113,0.0,111.0
114,0.0,111.0
115,0.0,112.0
116,0.0,111.0
117,0.0,111.0
118,0.0,111.0
119,0.0,111.0
120,0.0,110.0
121,0.0,110.0
122,0.0,110.0
123,0.0,110.0
124,0.0,110.0
125,0.0,110.0
126,0.0,110.0
127,0.0,110.0
128,0.0,110.0
129,0.0,110.0
130,0.0,110.0
131,0.0,110.0
132,0.0,110.0
133,0.0,110.0
134,0.0,110.0
135,0.0,110.0
136,0.0,110.0
137,0.0,110.0
138,0.0,110.0
139,0.0,110.0
140,0.0,110.0
141,0.0,110.0
142,0.0,110.0
143,0.0,110.0
144,0.0,110.0
145,0.0,110.0
146,0.0,110.0
147,0.0,110.0
148,0.0,110.0
149,0.0,110.0
150,0.0,110.0
151,0.0,110.0
152,0.0,110.0
153,0.0,110.0
154,0.0,110.0
155,0.0,110.0
156,0.0,110.0
157,0.0,110.0
158,0.0,110.0
159,0.0,110.0
160,0.0,112.0
161,0.0,113.0
162,0.0,112.0
163,0.0,112.0
164,0.0,116.0
165,0.0,132.0
166,0.0,150.0
167,0.0,179.0
168,0.0,210.0
169,0.0,238.0
170,0.0,268.0
171,0.0,294.0
172,0.0,301.0
173,0.0,307.0
174,0.0,310.0
175,0.0,308.0
176,0.0,310.0
177,0.0,312.0
178,0.0,313.0
179,0.0,314.0
180,0.0,315.0
181,0.0,316.0
182,0.0,317.0
183,0.0,318.0
184,0.0,312.0
185,0.0,271.0
186,0.0,210.0
187,0.0,166.0
188,0.0,155.0
189,0.0,143.0
190,0.0,139.0
191,0.0,137.0
192,0.0,136.0
193,0.0,135.0
194,0.0,135.0
195,0.0,135.0
196,0.0,135.0
197,0.0,135.0
198,0.0,134.0
199,0.0,134.0
200,0.0,134.0
201,0.0,134.0
202,0.0,134.0
203,0.0,134.0
204,0.0,134.0
205,0.0,134.0
206,0.0,134.0
207,0.0,134.0
208,0.0,134.0
209,0.0,134.0
210,0.0,134.0
211,0.0,134.0
212,0.0,134.0
213,0.0,134.0
214,0.0,134.0
215,0.0,134.0
216,0.0,134.0
217,0.0,134.0
218,0.0,134.0
219,0.0,134.0
220,0.0,135.0
221,0.0,132.0
222,0.0,137.0
223,0.0,147.0
224,0.0,164.0
225,0.0,188.0
226,0.0,211.0
227,0.0,226.0
228,0.0,238.0
229,0.0,247.0
230,0.0,256.0
231,0.0,260.0
232,0.0,266.0
233,0.0,277.0
234,0.0,282.0
235,0.0,286.0
236,0.0,289.0
237,5.0,291.0
238,6.0,292.0
239,10.5,293.0
240,13.25,294.0
241,18.12,295.0
242,29.06,296.0
243,14.53,298.0
244,19.77,298.0
245,21.88,298.0
246,22.44,297.0
247,22.22,296.0
248,21.11,296.0
249,21.56,297.0
250,22.28,297.0
251,21.64,297.0
252,21.82,298.0
253,23.41,299.0
254,23.7,300.0
255,23.85,300.0
256,20.93,299.0
257,23.46,300.0
258,24.23,299.0
259,24.12,299.0
260,25.06,298.0
261,26.03,297.0
262,25.01,296.0
263,24.01,294.0
264,24.0,290.0
265,24.0,288.0
266,24.0,285.0
267,24.0,282.0
268,24.0,280.0
269,32.0,277.0
270,36.0,277.0
271,38.0,274.0
272,19.0,272.0
273,29.5,270.0
274,26.75,267.0
275,26.38,265.0
276,25.69,263.0
277,24.84,261.0
278,25.42,259.0
279,24.71,256.0
280,24.86,253.0
281,23.93,251.0
282,22.46,248.0
283,24.23,245.0
284,22.62,242.0
285,22.31,239.0
286,21.65,236.0
287,21.33,233.0
288,22.66,230.0
289,24.83,227.0
290,25.92,223.0
291,24.96,218.0
292,32.48,214.0
293,36.24,208.0
294,38.12,203.0
295,39.06,197.0
296,39.53,192.0
297,39.76,186.0
298,39.88,182.0
299,39.94,178.0
300,39.97,175.0
301,39.99,172.0
302,39.99,169.0
303,30.5,166.0
304,18.75,164.0
305,14.37,162.0
306,14.19,159.0
307,14.59,155.0
308,20.8,151.0
309,30.4,146.0
310,35.2,141.0
311,37.6,136.0
312,38.8,132.0
313,39.4,130.0
314,39.7,129.0
315,39.85,124.0
316,39.92,118.0
317,39.96,112.0
318,31.98,107.0
319,24.49,103.0
320,22.75,102.0
321,19.87,101.0
322,14.94,99.0
323,10.47,97.0
324,11.23,96.0
325,13.62,93.0
326,19.31,89.0
327,19.15,85.0
328,19.58,80.0
329,22.29,76.0
330,24.64,71.0
331,12.32,64.0
332,15.16,66.0
333,15.58,63.0
334,14.79,61.0
335,14.9,58.0
336,16.45,53.0
337,12.72,50.0
338,17.86,45.0
339,28.93,44.0
340,24.97,46.0
341,20.98,43.0
342,20.99,39.0
343,21.5,37.0
344,30.75,37.0
345,15.37,37.0
346,19.69,36.0
347,18.84,32.0
348,21.42,28.0
349,22.71,22.0
350,23.36,17.0
