number,rho

0,9162.19

1,1147.9

2,1329.34

3,1550.5

4,1849.65

5,1174.06

6,1032.45

7,1324.72

8,1142.76

9,1833.34

10,1417.87

11,1554.04

12,1849.79

13,1174.07

14,1299.83

15,1304.86

16,1592.3

17,1163.77

18,1543.88

19,1345.18

20,1520.58

21,1160.9

22,1543.77

23,1314.62

24,960266.5

25,39877.43

26,2672.26

27,1359.76

28,1307.26

29,1182.93

30,1106.14

31,1174.88

32,1437.37

33,1157.57

34,1299.17

35,1518.74

36,1160.83

37,1031.92

38,1367.48

39,1552.03

40,1528.85

41,1314.02

42,1335.99

43,1520.21

44,1046.3

45,1172.49

46,1513.67

47,1137.71

48,1833.14

49,1570.66

50,1193.46

51,1124.9

52,1145.07

53,1145.88

54,1145.91

55,1061.88

56,1027.96

57,1324.54

58,1978.12

59,1152079.12

60,1198083.12

61,1199923.37

62,1199996.87

63,1199999.87

64,1200000.0

65,1200000.0

66,1200000.0

67,1200000.0

68,1200000.0

69,1200000.0

70,1200000.0

71,1200000.0

72,1200000.0

73,1200000.0

74,1200000.0

75,1200000.0

76,1200000.0

77,1200000.0

78,240802.14

79,10059.89

80,826.45

81,399.75

82,221.93

83,191.51

84,188.2

85,196.13

86,186.25

87,188.76

88,204.18

89,219.93

90,208.03

91,201.66

92,181.23

93,198.98

94,187.75

95,178.73

96,170.01

97,161.88

98,172.72

99,180.06

100,166.06

101,194.97

102,192.21

103,157.29

104,158.31

105,155.31

106,146.69

107,127.18

108,119.74

109,116.13

110,120.75

111,107.6

112,113.8

113,117.52

114,117.15

115,136.03

116,150.98

117,159.92

118,159.9

119,217.64

120,155.44

121,146.7

122,136.76

123,124.09

124,125.11

125,111.78

126,110.49

127,112.88

128,109.31

129,115.2

130,116.21

131,117.89

132,119.09

133,122.93

134,115.75

135,113.42

136,92.38

137,90.88

138,93.88

139,95.99

140,99.11

141,99.23

142,97.74

143,109.08

144,107.97

145,137.24

146,157.6

147,156.81

148,174.98

149,159.56

150,164.08

151,169.84

152,177.32

153,167.52

154,158.81

155,179.8

156,177.1

157,179.67

158,198.17

159,243.15

160,256.84

161,260.06

162,214.92

163,206.05

164,189.56

165,183.98

166,183.05

167,179.09

168,163.41

169,154.62

170,151.94

171,164.93

172,167.59

173,190.8

174,198.83

175,197.38

176,238.0

177,216.73

178,212.23

179,174.87

180,138.63

181,126.85

182,128.32

183,128.38

184,173.41

185,188.89

186,162.55

187,150.02

188,149.21

189,169.24

190,155.34

191,154.97

192,148.37

193,142.73

194,136.43

195,148.06

196,150.95

197,149.24

198,142.32

199,135.16

200,130.18

201,101.27

202,98.93

203,101.23

204,95.72

205,98.15

206,102.04

207,93.45

208,92.25

209,89.74

210,91.77

211,91.18

212,93.25

213,93.94

214,93.84

215,95.43

216,95.49

217,98.51

218,95.99

219,97.94

220,97.08

221,99.15

222,99.46

223,99.24

224,98.47

225,110.78

226,119.74

227,135.8

228,162.89

229,167.51

230,178.47

231,177.05

232,199.52

233,179.1

234,189.12

235,181.93

236,193.64

237,183.44

238,185.27

239,188.73

240,230.98

241,255.61

242,252.22

243,288.63

244,307.72

245,290.85

246,319.66

247,259.16

248,223.31

249,258.72

250,351.4

251,452.65

252,2228.45

253,1152089.12

254,1198083.62

255,1199923.37

256,1199996.87

257,1199999.87

258,1200000.0

259,1200000.0

260,1200000.0

261,1200000.0

262,49225.09

263,2602.49

264,781.46

265,815.57

266,961316.06

267,1190452.62

268,1199618.12

269,1199984.75

270,1199999.37

271,1200000.0

272,1200000.0

273,1200000.0

274,1200000.0

275,1200000.0

276,50246.0

277,8747.82

278,530.24

279,240.35

280,865.23

281,387.41

282,532.2

283,1152021.25

284,46979.25

285,961995.88

286,1190479.87

287,1199619.25

288,1199984.75

289,240457.77

290,9937.42

291,960496.25

292,1190419.87

293,47802.18

294,2110.26

295,380.31

296,1152015.25

297,1198080.62

298,1199923.25

299,1199996.87

300,1199999.87

301,1200000.0

302,1200000.0

303,1200000.0

304,1200000.0

305,1200000.0

306,1200000.0

307,1200000.0

308,1200000.0

309,1200000.0

310,1200000.0

311,1200000.0

312,1200000.0

313,1200000.0

314,1200000.0

315,1200000.0

316,1200000.0

317,1200000.0

