rho,phi
0.0,835.0
0.0,836.0
0.0,836.0
0.0,836.0
0.0,835.0
0.0,835.0
0.0,836.0
0.0,835.0
0.0,836.0
0.0,836.0
0.0,836.0
0.0,836.0
0.0,835.0
0.0,836.0
0.0,835.0
0.0,835.0
0.0,836.0
0.0,836.0
0.0,835.0
0.0,835.0
0.0,836.0
0.0,836.0
0.0,836.0
0.0,836.0
0.0,835.0
0.0,835.0
0.0,836.0
0.0,835.0
0.0,835.0
0.0,835.0
0.0,835.0
0.0,835.0
0.0,836.0
0.0,835.0
0.0,835.0
0.0,836.0
0.0,835.0
0.0,836.0
0.0,836.0
0.0,836.0
0.0,836.0
0.0,835.0
0.0,836.0
0.0,835.0
0.0,835.0
0.0,835.0
0.0,835.0
0.0,835.0
0.0,835.0
0.0,834.0
0.0,836.0
0.0,835.0
0.0,835.0
0.0,836.0
0.0,835.0
0.0,836.0
0.0,834.0
0.0,835.0
0.0,836.0
0.0,858.0
0.0,869.0
0.0,884.0
0.0,896.0
0.0,898.0
0.0,896.0
0.0,902.0
0.0,903.0
0.0,904.0
0.0,905.0
0.0,908.0
0.0,909.0
0.0,907.0
0.0,909.0
0.0,909.0
0.0,909.0
0.0,907.0
0.0,907.0
0.0,908.0
0.0,908.0
0.0,910.0
0.0,911.0
0.0,912.0
0.0,913.0
0.0,913.0
0.0,913.0
0.0,911.0
0.0,912.0
0.0,912.0
0.0,912.0
0.0,912.0
0.0,912.0
0.0,912.0
0.0,911.0
0.0,911.0
0.0,911.0
0.0,910.0
0.0,910.0
0.0,909.0
0.0,910.0
0.0,909.0
